Method,Time(ms),Speedup,Throughput(Mcps),Matches
Serial_CPU,7760.15,1.00,138.37,2673028210
GPU_Global,71.97,107.83,14933.58,2673028210
GPU_Shared_Compact,71.69,108.25,14978.96,2673028210
