Method,Time(ms),Speedup,Throughput(Mcps),Matches
Serial_CPU,0.01,1.00,106.67,2600
GPU_Global,0.15,0.07,7.50,2600
GPU_Shared_Compact,0.15,0.06,6.76,2600
