Method,Time(ms),Speedup,Throughput(Mcps),Matches
Serial_CPU,379.31,1.00,138.22,130518958
GPU_Global,4.05,93.58,12969.76,130518958
GPU_Shared_Compact,5.54,68.41,9471.32,130518958
