Method,Time(ms),Speedup,Throughput(Mcps),Matches
Serial_CPU,82.94,1.00,126.42,26103806
GPU_Global,1.44,57.68,7985.32,26103806
GPU_Shared_Compact,3.63,22.87,2971.59,26103806
