Method,Time(ms),Speedup,Throughput(Mcps),Matches
Serial_CPU,0.07,1.00,153.75,25526
GPU_Global,0.13,0.53,81.57,25526
GPU_Shared_Compact,0.15,0.45,69.75,25526
