Method,Time(ms),Speedup,Throughput(Mcps),Matches
Serial_CPU,7.52,1.00,139.38,2610414
GPU_Global,0.34,22.31,3109.81,2610414
GPU_Shared_Compact,2.22,3.39,472.85,2610414
