Method,Time(ms),Speedup,Throughput(Mcps),Matches
Serial_CPU,3760.85,1.00,139.41,1305189558
GPU_Global,35.07,107.24,14969.55,1305189558
GPU_Shared_Compact,34.58,108.75,15162.15,1305189558
