Method,Time(ms),Speedup,Throughput(Mcps),Matches
Serial_CPU,0.70,1.00,146.37,254923
GPU_Global,0.23,3.05,446.97,254923
GPU_Shared_Compact,0.42,1.66,243.62,254923
